canonical_name,college,draft_season,round,pick,draft_adjusted_hit_prob,model_hit_prob,model_hit_prob_no_pff,model_hit_prob_pick_only,model_hit_prob_post_draft,model_hit_prob_post_draft_pff,pff_model_delta,expected_tier,percentile_vs_history,actual_tier_or_projection,label_status,top_positive_indicators,top_negative_indicators,data_coverage,scout_note
Dillon Gabriel,Oregon,2025,3,94,0.5648539431762637,0.37947972259609475,0.6677613809787368,0.08546019899006174,0.5648539431762637,0.437353742871945,-0.2882816583826421,1.6326175944030923,86.0,1.0,projection_target,Career total production (PPA); Career PPA per play; Passing-down efficiency (final yr),"Turnover-worthy-play rate, no screens (final yr); Weight/frame; Big-time-throw rate, no screens (final yr)","PFF, combine (no 40)","CLE rookie starter stretch, benched; undersized efficiency profile"
Jaxson Dart,Ole Miss,2025,1,25,0.4978281946024909,0.4516213072464884,0.5456322518734056,0.1951221050315784,0.4978281946024909,0.41801164830562604,-0.09401094462691717,2.437203891086216,82.4,2.0,projection_target,Career total production (PPA); Career PPA per play; Passing-down efficiency (final yr),"Turnover-worthy-play rate, no screens (final yr); College seasons (age/declare proxy); PFF accuracy %, no screens (final yr)","PFF, combine (no 40)","Took over mid-2025, promising play, some injuries/concussions"
Cam Miller,North Dakota State,2025,6,215,0.3481718387509047,0.4512175183890549,0.6669931974177725,0.048991104866437075,0.3481718387509047,0.3662825123596636,-0.21577567902871764,1.8322332237610417,75.0,0.0,projection_target,Career total production (PPA); Career PPA per play; Passing-down efficiency (final yr),College seasons (age/declare proxy),"PFF partial, no combine testing",LV QB3/PS
Tyler Shough,Louisville,2025,2,40,0.14921781209556811,0.1717186922635728,0.18851618360065026,0.14737122060471694,0.14921781209556811,0.10359077586976286,-0.016797491337077447,0.17528838422470217,61.0,2.0,projection_target,"Career PPA per play; Pressure-to-sack rate, no screens (final yr); Broad-jump explosiveness","Turnover-worthy-play rate, no screens (final yr); College seasons (age/declare proxy); PFF rushing grade (final yr)","PFF, combine",Older rookie; became NO starter late 2025 with decent results
Will Howard,Ohio State,2025,6,185,0.14629401031366235,0.28389781065305086,0.3019196269887148,0.05428399676340578,0.14629401031366235,0.17887147668126224,-0.01802181633566391,1.418851274038269,59.6,1.0,projection_target,Career total production (PPA); Weight/frame; Passing-down efficiency (final yr),College seasons (age/declare proxy); Broad-jump explosiveness; PFF passing grade under pressure (final yr),"PFF, combine (no 40)",Hand injury wiped out most of rookie year
Kyle McCord,Syracuse,2025,6,181,0.09476913915204353,0.3908411819659917,0.1926801356617496,0.05509741263195583,0.09476913915204353,0.17126359739152502,0.1981610463042421,2.150650002379985,47.8,0.0,projection_target,Career PPA per play; Career total production (PPA); PFF dropbacks (final yr),Passing-down efficiency (final yr); College seasons (age/declare proxy); Weight/frame,"PFF, combine (no 40)",PHI QB3/PS
Jalen Milroe,Alabama,2025,3,92,0.08667785331022371,0.11946727090664956,0.09101583926781401,0.08667785331022371,0.07206145335524215,0.05864978688781609,0.028451431638835553,1.0367230437542254,41.9,1.0,projection_target,PFF rushing grade (final yr); Career total production (PPA); PFF passing grade clean pocket (final yr),"Turnover-worthy-play rate, no screens (final yr); PFF dropbacks (final yr); Passing-down efficiency (final yr)","PFF, combine (no 40)",SEA developmental/gadget QB behind Darnold
Kurtis Rourke,Indiana,2025,7,227,0.08444765622414098,0.12387866094062583,0.14180616800618634,0.04720149141366303,0.08444765622414098,0.046577005298635135,-0.01792750706556051,0.4303719667065746,39.7,0.0,projection_target,Career total production (PPA); PFF passing grade under pressure (final yr); Passing-down efficiency (final yr),"PFF rushing grade (final yr); Career PPA per play; Turnover-worthy-play rate, no screens (final yr)","PFF, combine (no 40)",Drafted while rehabbing ACL; redshirt rookie year
Riley Leonard,Notre Dame,2025,6,189,0.06567461786568403,0.11373258026157748,0.11978718872282677,0.05349895048009792,0.06567461786568403,0.05694543234340583,-0.006054608461249292,1.1401927644311314,26.5,1.0,projection_target,"PFF rushing grade (final yr); Career total production (PPA); Pressure-to-sack rate, no screens (final yr)","Turnover-worthy-play rate, no screens (final yr); PFF passing grade under pressure (final yr); Big-time-throw rate, no screens (final yr)","PFF, combine (no 40)",IND backup
Shedeur Sanders,Colorado,2025,5,144,0.06432170810362065,0.09894663854327775,0.1182205109490308,0.06432170810362065,0.05475762566925229,0.022819212144825147,-0.019273872405753054,1.398500777593565,25.0,1.0,projection_target,PFF passing grade clean pocket (final yr); PFF dropbacks (final yr); PFF passing grade under pressure (final yr),"Turnover-worthy-play rate, no screens (final yr); Weight/frame; Career total production (PPA)","PFF, combine (no 40)",Famous draft slide; late-2025 CLE starts with mixed results
Quinn Ewers,Texas,2025,7,231,0.06360174478646903,0.13736293194067029,0.1633443188367013,0.046639243619073234,0.06360174478646903,0.0794250312570032,-0.025981386896031022,1.2527038160392314,24.3,1.0,projection_target,"Turnover-worthy-play rate, no screens (final yr); Career total production (PPA); Career PPA per play","PFF passing grade under pressure (final yr); Pressure-to-sack rate, no screens (final yr); PFF rushing grade (final yr)","PFF, combine (no 40)",MIA backup; former five-star who slid to R7
Graham Mertz,Florida,2025,6,197,0.052007915561128715,0.04372602682471309,0.022027801129345558,0.052007915561128715,0.025779461780272395,0.03099150631161362,0.021698225695367532,0.0,11.8,0.0,projection_target,"Turnover-worthy-play rate, no screens (final yr); Career total production (PPA); Pressure-to-sack rate, no screens (final yr)",PFF dropbacks (final yr); Passing-down efficiency (final yr); College seasons (age/declare proxy),"PFF, combine (no 40)",Drafted off ACL tear; developmental backup
Fernando Mendoza,Indiana,2026,1,1,0.710919425699089,0.3079138234165993,0.38228621619548964,0.710919425699089,0.6717550729734745,0.560406380241684,-0.07437239277889035,2.206004288294655,96.3,,projection_target,Passing-down efficiency (final yr); Weight/frame; Career total production (PPA),"Turnover-worthy-play rate, no screens (final yr); PFF accuracy %, no screens (final yr); Pressure-to-sack rate, no screens (final yr)","PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Ty Simpson,Alabama,2026,1,13,0.2796145265938979,0.09737426396737475,0.03919152562995048,0.2796145265938979,0.06893764793543569,0.08257103133292469,0.058182738337424274,0.5599758041063377,71.3,,projection_target,PFF dropbacks (final yr); PFF passing grade clean pocket (final yr); Career PPA per play,Career total production (PPA); Weight/frame; PFF passing grade under pressure (final yr),"PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Taylen Green,Arkansas,2026,6,182,0.25337006636796605,0.4896054010224592,0.4911415885140121,0.05489131019780862,0.25337006636796605,0.5338975941825044,-0.0015361874915528761,2.8961870645536925,68.4,,projection_target,"Broad-jump explosiveness; Turnover-worthy-play rate, no screens (final yr); Career total production (PPA)","PFF passing grade under pressure (final yr); Career PPA per play; Big-time-throw rate, no screens (final yr)","PFF, combine",Draft slot from ESPN/NFL.com; no NFL outcome yet
Carson Beck,Miami,2026,3,65,0.18987214032005773,0.09213243073630457,0.18829808793650957,0.10862788577669698,0.18987214032005773,0.10280570570699898,-0.096165657200205,0.7090777507222819,65.4,,projection_target,Career total production (PPA); Weight/frame; PFF dropbacks (final yr),"Turnover-worthy-play rate, no screens (final yr); PFF rushing grade (final yr); Big-time-throw rate, no screens (final yr)","PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Cole Payton,North Dakota State,2026,5,178,0.14683620656233526,0.3468964860550857,0.43612248262794845,0.05572708866549501,0.14683620656233526,0.18201601126883848,-0.08922599657286273,1.6604851405191572,60.3,,projection_target,Broad-jump explosiveness; Passing-down efficiency (final yr); Career PPA per play,Career total production (PPA); College seasons (age/declare proxy),"no PFF, combine",Draft slot from ESPN/NFL.com; no NFL outcome yet
Drew Allar,Penn State,2026,3,76,0.10253549124803886,0.05556231842598123,0.13067653873627966,0.09820143360060414,0.10253549124803886,0.04487020563766378,-0.07511422031029844,0.37774145130423364,50.7,,projection_target,PFF rushing grade (final yr); Career total production (PPA); Weight/frame,"PFF passing grade clean pocket (final yr); PFF dropbacks (final yr); Big-time-throw rate, no screens (final yr)","PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Cade Klubnik,Clemson,2026,4,110,0.07702223203698176,0.03963348157924124,0.028828572893827432,0.07702223203698176,0.0361335861702919,0.020888775452761695,0.010804908685413811,0.18497643637228112,33.1,,projection_target,"Pressure-to-sack rate, no screens (final yr); Career total production (PPA); PFF passing grade under pressure (final yr)","Passing-down efficiency (final yr); Career PPA per play; Turnover-worthy-play rate, no screens (final yr)","PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Athan Kaliakmanis,Rutgers,2026,7,223,0.0477803467721554,0.05363163869235155,0.03835629014021175,0.0477803467721554,0.02597089064501095,0.009850223403952618,0.0152753485521398,0.7032955879778598,5.9,,projection_target,"PFF passing grade under pressure (final yr); Big-time-throw rate, no screens (final yr); PFF passing grade clean pocket (final yr)","Turnover-worthy-play rate, no screens (final yr); Career PPA per play; Pressure-to-sack rate, no screens (final yr)","PFF, no combine testing",Draft slot from ESPN/NFL.com; no NFL outcome yet
Behren Morton,Texas Tech,2026,7,234,0.046228007070053534,0.04991562819366453,0.024570164640546458,0.046228007070053534,0.016595901818485352,0.021468406992967978,0.025345463553118074,0.15177198863704267,4.4,,projection_target,"Turnover-worthy-play rate, no screens (final yr); Big-time-throw rate, no screens (final yr); PFF accuracy %, no screens (final yr)",Career PPA per play; PFF rushing grade (final yr); PFF passing grade under pressure (final yr),"PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Garrett Nussmeier,LSU,2026,7,249,0.04429570939777554,0.04551890272823616,0.025504665791734674,0.04429570939777554,0.017036455724225612,0.01491741116744297,0.020014236936501485,0.0,1.5,,projection_target,"Turnover-worthy-play rate, no screens (final yr)",Weight/frame; PFF dropbacks (final yr); Passing-down efficiency (final yr),"PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
